,level_0,index,file_id,api,rank,operation,segment,offset,size,start,end,duration
0,0,41,418707678782925176,POSIX,0,open,0,0,0.0,0.3838999271392822,0.3845999240875244,0.6999969482421875
1,1,40,418707678782925176,POSIX,0,stat,0,0,0.0,0.38879990577697754,0.38879990577697754,0.0
2,2,0,418707678782925176,POSIX,0,write,0,0,9.6e-05,0.38899993896484375,0.3908998966217041,1.8999576568603516
3,3,55,3320158294605273525,POSIX,0,open,0,0,0.0,0.3986999988555908,0.39930009841918945,0.6000995635986328
4,4,54,3320158294605273525,POSIX,0,stat,0,0,0.0,0.40149998664855957,0.40149998664855957,0.0
5,5,43,3320158294605273525,POSIX,0,write,0,0,9.6e-05,0.4015998840332031,0.40310001373291016,1.5001296997070312
6,6,51,3320158294605273525,POSIX,0,read,0,4096,0.0,0.4042999744415283,0.4042999744415283,0.0
7,7,44,3320158294605273525,POSIX,0,write,1,4096,0.023232,0.4045999050140381,0.40470004081726074,0.10013580322265625
8,8,52,3320158294605273525,POSIX,0,read,1,27328,0.0,0.4052000045776367,0.4052000045776367,0.0
9,9,45,3320158294605273525,POSIX,0,write,2,27328,0.023232,0.40540003776550293,0.4054999351501465,0.09989738464355469
10,10,53,3320158294605273525,POSIX,0,read,2,50560,0.0,0.40580010414123535,0.40580010414123535,0.0
11,11,46,3320158294605273525,POSIX,0,write,3,50560,0.023232,0.40599989891052246,0.40599989891052246,0.0
12,12,47,3320158294605273525,POSIX,0,write,4,96,0.000696,0.40619993209838867,0.40619993209838867,0.0
13,13,48,3320158294605273525,POSIX,0,write,5,800,0.003072,0.40630006790161133,0.40630006790161133,0.0
14,14,49,3320158294605273525,POSIX,0,write,6,0,9.6e-05,0.40630006790161133,0.40630006790161133,0.0
15,15,56,3320158294605273525,POSIX,0,close,0,0,0.0,0.40650010108947754,0.40779995918273926,1.2998580932617188
16,16,50,3320158294605273525,POSIX,0,write,7,0,9.6e-05,0.40650010108947754,0.40650010108947754,0.0
17,17,1,418707678782925176,POSIX,0,write,1,2432,0.032768,0.41190004348754883,0.41210007667541504,0.20003318786621094
18,18,2,418707678782925176,POSIX,0,write,2,37248,0.032768,0.4121999740600586,0.41230010986328125,0.10013580322265625
19,19,3,418707678782925176,POSIX,0,write,3,70016,0.032768,0.4124000072479248,0.41249990463256836,0.09989738464355469
20,20,4,418707678782925176,POSIX,0,write,4,102784,0.032768,0.412600040435791,0.41269993782043457,0.09989738464355469
21,21,5,418707678782925176,POSIX,0,write,5,135552,0.032768,0.4128999710083008,0.41300010681152344,0.10013580322265625
22,22,6,418707678782925176,POSIX,0,write,6,168320,0.032768,0.413100004196167,0.413100004196167,0.0
23,23,7,418707678782925176,POSIX,0,write,7,201088,0.032768,0.41359996795654297,0.4137001037597656,0.10013580322265625
